100,0.0002377
100,0.0002318
100,0.0002488
100,0.0002366
100,0.0002355
1000,0.0024668
1000,0.0025026
1000,0.0028309
1000,0.0029373
1000,0.002499
10000,0.0258636
10000,0.0267626
10000,0.0263643
10000,0.0251916
10000,0.0263604
50000,0.128022
50000,0.125539
50000,0.127348
50000,0.128886
50000,0.137504
100000,0.26028
100000,0.259544
100000,0.259966
100000,0.262032
100000,0.257784
150000,0.399891
150000,0.396537
150000,0.388761
150000,0.398085
150000,0.407301
200000,0.519436
200000,0.51707
200000,0.53969
200000,0.531188
200000,0.518348
231637,0.603983
231637,0.749211
231637,0.604098
231637,0.601362
231637,0.599274
